Format,Anzahl_Fragen,Beispiel_Fragen,Antworten_Liste,Antworten_Vorschau
altersgruppe.,1,S3,55-64 Jahre | 65-74 Jahre | >74 Jahre,"55-64 Jahre, 65-74 Jahre, >74 Jahre"
dauer_adr.,1,Wohndauer_Adresse,0 bis 2 Jahre | 3 bis 5 Jahre | 6 bis 10 Jahre | Mehr als 10 Jahre,"0 bis 2 Jahre, 3 bis 5 Jahre, 6 bis 10 Jahre, Mehr als 10 Jahre"
dauer_kt.,1,Wohndauer_Kanton,0 bis 10 Jahre | 11 bis 20 Jahre | 21 bis 35 Jahre | Mehr als 35 Jahre,"0 bis 10 Jahre, 11 bis 20 Jahre, 21 bis 35 Jahre, Mehr als 35 Jahre"
dauer_pflege.,1,F41,0 Stunden | 1 bis 5 Stunden | 11 bis 15 Stunden | 16 bis 20 Stunden | 6 bis 10 Stunden | Mehr als 20 Stunden,"0 Stunden, 1 bis 5 Stunden, 11 bis 15 Stunden, 16 bis 20 Stunden, 6 bis 10 Stunden, Mehr als 20 Stunden"
dauer_qrt.,1,Wohndauer_Quartier,0 bis 4 Jahre | 5 bis 8 Jahre | 9 bis 15 Jahre | Mehr als 15 Jahre,"0 bis 4 Jahre, 5 bis 8 Jahre, 9 bis 15 Jahre, Mehr als 15 Jahre"
geld.,13,"F43a, F43b, F43c, F43d, F43e, F43f, F43g, F43h …",Brauche/Mache ich nicht | Geld reicht | Geld reicht nicht,"Brauche/Mache ich nicht, Geld reicht, Geld reicht nicht"
gerne.,1,F1,Eher gerne | Eher ungerne | Sehr gerne | Sehr ungerne | Weiss nicht,"Eher gerne, Eher ungerne, Sehr gerne, Sehr ungerne, Weiss nicht"
geschlecht.,1,S2,Männlich | Weiblich,"Männlich, Weiblich"
gut.,1,F35,Eher gut | Eher nicht gut | Gar nicht gut | Sehr gut | Weiss nicht,"Eher gut, Eher nicht gut, Gar nicht gut, Sehr gut, Weiss nicht"
haeufig_dwm.,22,"F38a, F38b, F38c, F38d, F38e, F38f, F38g, F38h …",Mindestens ein Mal pro Monat | Mindestens ein Mal pro Tag | Mindestens ein Mal pro Woche | Nicht möglich / Nicht vorhanden | Nie | Selten,"Mindestens ein Mal pro Monat, Mindestens ein Mal pro Tag, Mindestens ein Mal pro Woche, Nicht möglich / Nicht vorhanden, Nie, Selten"
